name	source	kind	value	currency	captured_at	note
Access Denied	ligamagic	menor	9.00	BRL	2026-08-12	deck v2
Alibou, Ancient Witness	ligamagic	menor	5.64	BRL	2026-08-12	deck v2
Arcane Signet	ligamagic	menor	3.99	BRL	2026-08-12	deck v2
Astral Cornucopia	ligamagic	menor	1.40	BRL	2026-08-12	maybeboard v3
Azorius Signet	ligamagic	menor	2.68	BRL	2026-08-12	maybeboard v3
Battlefield Forge	ligamagic	menor	3.70	BRL	2026-08-12	deck v2
Bident of Thassa	ligamagic	menor	5.80	BRL	2026-08-12	deck v2
Blacksmith's Skill	ligamagic	menor	0.89	BRL	2026-08-12	deck v2
Blast Zone	ligamagic	menor	0.89	BRL	2026-08-12	deck v2
Boros Signet	ligamagic	menor	1.50	BRL	2026-08-12	deck v2
Brotherhood Vertibird	ligamagic	menor	1.57	BRL	2026-08-12	deck v2
Captain Storm, Cosmium Raider	ligamagic	menor	0.15	BRL	2026-08-12	maybeboard v3
Cargo Ship	ligamagic	menor	0.20	BRL	2026-08-12	maybeboard v3
Chain Reaction	ligamagic	menor	0.90	BRL	2026-08-12	deck v2
Chainsaw	ligamagic	menor	1.48	BRL	2026-08-12	maybeboard v3
Chief of the Foundry	ligamagic	menor	0.08	BRL	2026-08-12	deck v2
Chrome Host Seedshark	ligamagic	menor	1.16	BRL	2026-08-12	deck v2
Clifftop Retreat	ligamagic	menor	3.05	BRL	2026-08-12	deck v2
Cloud Key	ligamagic	menor	8.00	BRL	2026-08-12	deck v2
Command Tower	ligamagic	menor	1.67	BRL	2026-08-12	deck v2
Coretapper	ligamagic	menor	0.25	BRL	2026-08-12	deck v2
Crystalline Crawler	ligamagic	menor	3.70	BRL	2026-08-12	deck v2
Cyberdrive Awakener	ligamagic	menor	14.99	BRL	2026-08-12	deck v2
Darksteel Reactor	ligamagic	menor	5.44	BRL	2026-08-12	maybeboard v3
Deepglow Skate	ligamagic	menor	1.99	BRL	2026-08-12	deck v2
Dispatch	ligamagic	menor	2.83	BRL	2026-08-12	deck v2
Disruption Protocol	ligamagic	menor	0.20	BRL	2026-08-12	deck v2
Diversion Unit	ligamagic	menor	0.45	BRL	2026-08-12	maybeboard v3
Emissary Escort	ligamagic	menor	0.20	BRL	2026-08-12	maybeboard v3
Empowered Autogenerator	ligamagic	menor	2.19	BRL	2026-08-12	deck v2
Enthusiastic Mechanaut	ligamagic	menor	0.39	BRL	2026-08-12	deck v2
Etherium Sculptor	ligamagic	menor	1.72	BRL	2026-08-12	deck v2
Ethersworn Sphinx	ligamagic	menor	0.09	BRL	2026-08-12	maybeboard v3
Everflowing Chalice	ligamagic	menor	1.50	BRL	2026-08-12	deck v2
Exotic Orchard	ligamagic	menor	1.00	BRL	2026-08-12	deck v2
Experimental Augury	ligamagic	menor	0.69	BRL	2026-08-12	maybeboard v3
Flame Slash	ligamagic	menor	2.48	BRL	2026-08-12	maybeboard v3
Foundry Inspector	ligamagic	menor	0.36	BRL	2026-08-12	deck v2
Frogmyr Enforcer	ligamagic	menor	0.09	BRL	2026-08-12	maybeboard v3
Fumigate	ligamagic	menor	1.37	BRL	2026-08-12	deck v2
Glacial Fortress	ligamagic	menor	2.21	BRL	2026-08-12	deck v2
Glass Casket	ligamagic	menor	0.09	BRL	2026-08-12	deck v2
Golem Foundry	ligamagic	menor	2.34	BRL	2026-08-12	maybeboard v3
Hangarback Walker	ligamagic	menor	0.75	BRL	2026-08-12	deck v2
Hedron Crawler	ligamagic	menor	0.10	BRL	2026-08-12	maybeboard v3
Inspirit, Flagship Vessel	ligamagic	menor	4.75	BRL	2026-08-12	deck v2
Invisible Force Field	ligamagic	menor	10.94	BRL	2026-08-12	deck v2
Irrigated Farmland	ligamagic	menor	0.84	BRL	2026-08-12	deck v2
Jhoira, Weatherlight Captain	ligamagic	menor	6.69	BRL	2026-08-12	maybeboard v3
Kappa Cannoneer	ligamagic	menor	4.50	BRL	2026-08-12	deck v2
Kilo, Apogee Mind	ligamagic	menor	4.90	BRL	2026-08-12	deck v2
Leonin Abunas	ligamagic	menor	1.97	BRL	2026-08-12	deck v2
Long-Range Sensor	ligamagic	menor	1.84	BRL	2026-08-12	maybeboard v3
Loran's Escape	ligamagic	menor	15.45	BRL	2026-08-12	deck v2
Lux Artillery	ligamagic	menor	1.22	BRL	2026-08-12	deck v2
Lux Cannon	ligamagic	menor	1.25	BRL	2026-08-12	deck v2
Malcator, Purity Overseer	ligamagic	menor	0.39	BRL	2026-08-12	deck v2
Marketback Walker	ligamagic	menor	1.93	BRL	2026-08-12	maybeboard v3
Master of Etherium	ligamagic	menor	0.89	BRL	2026-08-12	deck v2
Master Trinketeer	ligamagic	menor	0.19	BRL	2026-08-12	deck v2
Melded Moxite	ligamagic	menor	0.25	BRL	2026-08-12	maybeboard v3
Memory Guardian	ligamagic	menor	0.49	BRL	2026-08-12	maybeboard v3
Metastatic Evangel	ligamagic	menor	0.20	BRL	2026-08-12	maybeboard v3
Midnight Clock	ligamagic	menor	1.90	BRL	2026-08-12	deck v2
Millikin	ligamagic	menor	0.17	BRL	2026-08-12	maybeboard v3
Moxite Refinery	ligamagic	menor	1.89	BRL	2026-08-12	maybeboard v3
Myr Convert	ligamagic	menor	0.15	BRL	2026-08-12	maybeboard v3
Mystic Monastery	ligamagic	menor	0.17	BRL	2026-08-12	deck v2
Old Fat Spider Can't See Me	ligamagic	menor	0.88	BRL	2026-08-12	maybeboard v3
One with the Machine	ligamagic	menor	0.41	BRL	2026-08-12	deck v2
Organic Extinction	ligamagic	menor	3.19	BRL	2026-08-12	deck v2
Overwhelming Surge	ligamagic	menor	0.03	BRL	2026-08-12	maybeboard v3
Padeem, Consul of Innovation	ligamagic	menor	7.75	BRL	2026-08-12	deck v2
Paladin Danse, Steel Maverick	ligamagic	menor	3.95	BRL	2026-08-12	maybeboard v3
Patrolling Peacemaker	ligamagic	menor	3.94	BRL	2026-08-12	maybeboard v3
Pentad Prism	ligamagic	menor	0.63	BRL	2026-08-12	deck v2
Perilous Landscape	ligamagic	menor	0.19	BRL	2026-08-12	deck v2
Perilous Snare	ligamagic	menor	1.00	BRL	2026-08-12	deck v2
Phyrexian Revoker	ligamagic	menor	1.25	BRL	2026-08-12	maybeboard v3
Pilgrim's Eye	ligamagic	menor	0.05	BRL	2026-08-12	maybeboard v3
Pinnacle Emissary	ligamagic	menor	5.90	BRL	2026-08-12	deck v2
Port Town	ligamagic	menor	0.98	BRL	2026-08-12	deck v2
Prophetic Prism	ligamagic	menor	0.13	BRL	2026-08-12	deck v2
Ratchet Bomb	ligamagic	menor	1.79	BRL	2026-08-12	maybeboard v3
Razortide Bridge	ligamagic	menor	1.19	BRL	2026-08-12	deck v2
Reckoner Bankbuster	ligamagic	menor	1.90	BRL	2026-08-12	deck v2
Restoration Magic	ligamagic	menor	10.75	BRL	2026-08-12	deck v2
Reverse Engineer	ligamagic	menor	0.17	BRL	2026-08-12	deck v2
Rip Apart	ligamagic	menor	0.23	BRL	2026-08-12	deck v2
Rugged Prairie	ligamagic	menor	2.69	BRL	2026-08-12	deck v2
Rustvale Bridge	ligamagic	menor	1.09	BRL	2026-08-12	deck v2
Sai, Master Thopterist	ligamagic	menor	2.48	BRL	2026-08-12	deck v2
Silverbluff Bridge	ligamagic	menor	0.90	BRL	2026-08-12	deck v2
Skycloud Expanse	ligamagic	menor	1.09	BRL	2026-08-12	deck v2
Sol Ring	ligamagic	menor	8.01	BRL	2026-08-12	deck v2
Solar Array	ligamagic	menor	1.99	BRL	2026-08-12	maybeboard v3
Somber Hoverguard	ligamagic	menor	0.10	BRL	2026-08-12	maybeboard v3
Sphere of the Suns	ligamagic	menor	0.11	BRL	2026-08-12	deck v2
Spire of Industry	ligamagic	menor	0.95	BRL	2026-08-12	deck v2
Stern Lesson	ligamagic	menor	0.04	BRL	2026-08-12	deck v2
Stoic Rebuttal	ligamagic	menor	0.20	BRL	2026-08-12	deck v2
Stone by Sunlight	ligamagic	menor	0.88	BRL	2026-08-12	maybeboard v3
Sunder the Gateway	ligamagic	menor	0.25	BRL	2026-08-12	maybeboard v3
Surge Conductor	ligamagic	menor	3.78	BRL	2026-08-12	deck v2
Swords to Plowshares	ligamagic	menor	11.00	BRL	2026-08-12	deck v2
Talisman of Progress	ligamagic	menor	5.24	BRL	2026-08-12	deck v2
Temple of Enlightenment	ligamagic	menor	0.59	BRL	2026-08-12	deck v2
Temple of Epiphany	ligamagic	menor	0.49	BRL	2026-08-12	deck v2
Tezzeret's Gambit	ligamagic	menor	0.45	BRL	2026-08-12	deck v2
Third Path Iconoclast	ligamagic	menor	3.17	BRL	2026-08-12	deck v2
Thirst for Knowledge	ligamagic	menor	0.05	BRL	2026-08-12	deck v2
Thopter Fabricator	ligamagic	menor	0.20	BRL	2026-08-12	maybeboard v3
Thought Monitor	ligamagic	menor	6.90	BRL	2026-08-12	maybeboard v3
Thousand Moons Smithy	ligamagic	menor	4.90	BRL	2026-08-12	deck v2
Thrummingbird	ligamagic	menor	0.18	BRL	2026-08-12	maybeboard v3
Titan Forge	ligamagic	menor	0.49	BRL	2026-08-12	maybeboard v3
Unholy Heat	ligamagic	menor	0.75	BRL	2026-08-12	maybeboard v3
Unwanted Remake	ligamagic	menor	0.95	BRL	2026-08-12	deck v2
Uthros Research Craft	ligamagic	menor	9.49	BRL	2026-08-12	deck v2
Voyage Home	ligamagic	menor	0.20	BRL	2026-08-12	maybeboard v3
Voyager Quickwelder	ligamagic	menor	0.15	BRL	2026-08-12	maybeboard v3
Warmaker Gunship	ligamagic	menor	0.25	BRL	2026-08-12	deck v2
Zookeeper Mechan	ligamagic	menor	0.09	BRL	2026-08-12	maybeboard v3
Inspirit, Flagship Vessel	ligamagic	menor	4.75	BRL	2026-08-12	comandante
Impact Tremors	ligamagic	menor	17.78	BRL	2026-08-22	
Goblin Bombardment	ligamagic	menor	15.00	BRL	2026-08-22	
Goblin Chieftain	ligamagic	menor	44.90	BRL	2026-08-22	
Shared Animosity	ligamagic	menor	25.99	BRL	2026-08-22	
Purphoros, God of the Forge	ligamagic	menor	129.99	BRL	2026-08-22	
Rundvelt Hordemaster	ligamagic	menor	17.78	BRL	2026-08-22	
Skirk Prospector	ligamagic	menor	0.50	BRL	2026-08-22	
Hobgoblin Bandit Lord	ligamagic	menor	29.97	BRL	2026-08-22	
Umbral Mantle	ligamagic	menor	36.90	BRL	2026-08-22	
Hammer of Purphoros	ligamagic	menor	2.89	BRL	2026-08-22	
Skullclamp	ligamagic	menor	26.89	BRL	2026-08-22	
Idol of Oblivion	ligamagic	menor	8.94	BRL	2026-08-22	
Reckless Impulse	ligamagic	menor	9.78	BRL	2026-08-22	
Light Up the Stage	ligamagic	menor	0.74	BRL	2026-08-22	
Goblin Engineer	ligamagic	menor	39.60	BRL	2026-08-22	
Goblin Matron	ligamagic	menor	5.41	BRL	2026-08-22	
Outpost Siege	ligamagic	menor	0.90	BRL	2026-08-22	
Deflecting Swat	ligamagic	menor	414.00	BRL	2026-08-22	
Goblin Chirurgeon	ligamagic	menor	5.90	BRL	2026-08-22	
Swiftfoot Boots	ligamagic	menor	12.80	BRL	2026-08-22	
Lightning Greaves	ligamagic	menor	28.35	BRL	2026-08-22	
Chandra, Torch of Defiance	ligamagic	menor	11.16	BRL	2026-08-22	
Den of the Bugbear	ligamagic	menor	15.00	BRL	2026-08-22	
Castle Embereth	ligamagic	menor	1.49	BRL	2026-08-22	
Volley Veteran	ligamagic	menor	0.29	BRL	2026-08-22	
Metallic Mimic	ligamagic	menor	4.89	BRL	2026-08-24	
Chaos Warp	ligamagic	menor	3.81	BRL	2026-08-24	
General Kreat, the Boltbringer	ligamagic	menor	74.95	BRL	2026-08-24	
Goblin King	ligamagic	menor	75.99	BRL	2026-08-24	
Mogg War Marshal	ligamagic	menor	0.25	BRL	2026-08-25	
Dragon Fodder	ligamagic	menor	0.17	BRL	2026-08-25	
Battle Hymn	ligamagic	menor	6.89	BRL	2026-08-25	
Sokenzan, Crucible of Defiance	ligamagic	menor	13.16	BRL	2026-08-25	
Dwarven Mine	ligamagic	menor	0.18	BRL	2026-08-25	
Kher Keep	ligamagic	menor	1.99	BRL	2026-08-25	
Young Pyromancer	ligamagic	menor	1.75	BRL	2026-08-25	
Expedite	ligamagic	menor	0.68	BRL	2026-08-25	
Renegade Tactics	ligamagic	menor	0.27	BRL	2026-08-25	
Ancestral Anger	ligamagic	menor	0.05	BRL	2026-08-25	
Titan's Strength	ligamagic	menor	0.25	BRL	2026-08-25	
Scuzzback Scrounger	ligamagic	menor	1.00	BRL	2026-08-26	
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki	ligamagic	menor	55.00	BRL	2026-08-26	
Breeches, Eager Pillager	ligamagic	menor	1.00	BRL	2026-08-26	
Professional Face-Breaker	ligamagic	menor	39.85	BRL	2026-08-26	
Enterprising Scallywag	ligamagic	menor	0.11	BRL	2026-08-26	
Mind Stone	ligamagic	menor	2.25	BRL	2026-08-26	
Howlsquad Heavy	ligamagic	menor	23.94	BRL	2026-09-01	
Brightstone Ritual	ligamagic	menor	4.67	BRL	2026-09-01	
Sarpadian Simulacrum	ligamagic	menor	0.06	BRL	2026-09-01	
Gandalf the White	ligamagic	menor	49.90	BRL	2026-09-16	
Cloudshift	ligamagic	menor	3.98	BRL	2026-09-16	
Slip On the Ring	ligamagic	menor	0.15	BRL	2026-09-16	
Lightning Greaves	ligamagic	menor	25.00	BRL	2026-09-16	
Bifur, Melodic Rider	ligamagic	menor	0.22	BRL	2026-09-16	
Dwalin, Weaponmaster	ligamagic	menor	3.82	BRL	2026-09-16	
Bilbo, Unexpected Adventurer	ligamagic	menor	127.90	BRL	2026-09-16	
Dáin of the Ancient Halls	ligamagic	menor	728.80	BRL	2026-09-16	
Thorin, Company's Leader	ligamagic	menor	238.90	BRL	2026-09-16	
Long-Lost Lances	ligamagic	menor	5.90	BRL	2026-09-16	
Ori, Plate Stacker	ligamagic	menor	28.50	BRL	2026-09-16	
Magda, Brazen Outlaw	ligamagic	menor	69.90	BRL	2026-09-16	
Depala, Pilot Exemplar	ligamagic	menor	0.23	BRL	2026-09-16	
Sram, Senior Edificer	ligamagic	menor	6.00	BRL	2026-09-16	
Giott, King of the Dwarves	ligamagic	menor	0.20	BRL	2026-09-16	
Duergar Hedge-Mage	ligamagic	menor	2.17	BRL	2026-09-16	
Swiftfoot Boots	ligamagic	menor	14.00	BRL	2026-09-16	
Glóin, Dwarf Emissary	ligamagic	menor	89.75	BRL	2026-09-16	
Bruenor Battlehammer	ligamagic	menor	12.52	BRL	2026-09-16	
Hellrider	ligamagic	menor	3.49	BRL	2026-09-16	
Reyav, Master Smith	ligamagic	menor	0.20	BRL	2026-09-16	
Fíli and Kíli, Joyous	ligamagic	menor	148.90	BRL	2026-09-16	
Mizzium Mortars	ligamagic	menor	1.10	BRL	2026-09-16	
Fairgrounds Warden	ligamagic	menor	0.25	BRL	2026-09-16	
Cosmotronic Wave	ligamagic	menor	0.23	BRL	2026-09-16	
Duty Beyond Death	ligamagic	menor	0.43	BRL	2026-09-16	
Hangarback Walker	ligamagic	menor	0.70	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Marketback Walker	ligamagic	menor	1.90	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Coretapper	ligamagic	menor	0.25	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Emissary Escort	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Etherium Sculptor	ligamagic	menor	2.85	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Metastatic Evangel	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Third Path Iconoclast	ligamagic	menor	3.58	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Enthusiastic Mechanaut	ligamagic	menor	0.20	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Chief of the Foundry	ligamagic	menor	0.15	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Foundry Inspector	ligamagic	menor	0.50	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Kilo, Apogee Mind	ligamagic	menor	4.90	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Malcator, Purity Overseer	ligamagic	menor	0.39	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Master of Etherium	ligamagic	menor	0.89	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Pinnacle Emissary	ligamagic	menor	5.90	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Sai, Master Thopterist	ligamagic	menor	2.48	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Surge Conductor	ligamagic	menor	3.78	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Chrome Host Seedshark	ligamagic	menor	2.15	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Voyager Quickwelder	ligamagic	menor	0.15	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Jhoira, Weatherlight Captain	ligamagic	menor	6.53	BRL	2026-09-18	print LigaMagic do deck montado (registro)
Padeem, Consul of Innovation	ligamagic	menor	7.65	BRL	2026-09-18	print LigaMagic do deck montado (registro)
