"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
,Modern Horizons 2,mh2,,Goblin Bombardment,1,MP,PTEN,R,R,,279,
,Jumpstart,jmp,,Goblin Chieftain,1,MP,PTEN,R,R,,324,
,Edge of Eternities Commander,eoc,,Hammer of Purphoros,1,MP,PTEN,R,R,,88,
,Adventures in the Forgotten Realms,afr,,Hobgoblin Bandit Lord,1,MP,PTEN,R,R,,147,
,Dragons of Tarkir,dtk,,Impact Tremors,1,MP,PTEN,C,R,,140,
,Commander Masters,cmm,,"Purphoros, God of the Forge",1,MP,PTEN,M,R,,246,
,Dominaria United,dmu,,Rundvelt Hordemaster,1,MP,PTEN,R,R,,142,
,The Lost Caverns of Ixalan Commander,lcc,,Shared Animosity,1,MP,PTEN,R,R,,231,
,Dominaria Remastered,dmr,,Skirk Prospector,1,MP,PTEN,C,R,,137,
,Shadowmoor,shm,,Umbral Mantle,1,MP,PTEN,U,A,,267,
,Tarkir: Dragonstorm Commander,tdc,,Castle Embereth,1,MP,PTEN,R,L,,347,
,Kaladesh,kld,,"Chandra, Torch of Defiance",1,MP,PTEN,M,R,,110,
,Adventures in the Forgotten Realms,afr,,Den of the Bugbear,1,MP,PTEN,R,L,,254,
,Fallen Empires,fem,,Goblin Chirurgeon,1,MP,PTEN,C,R,,54a,
,Modern Horizons,mh1,,Goblin Engineer,1,MP,PTEN,R,R,,128,
,Dominaria Remastered,dmr,,Goblin Matron,1,MP,PTEN,C,R,,123,
,Tarkir: Dragonstorm Commander,tdc,,Idol of Oblivion,1,MP,PTEN,R,A,,319,
,Duskmourn: House of Horror Commander,dsc,,Light Up the Stage,1,MP,PTEN,U,R,,166,
,Commander Legends: Battle for Baldur's Gate,clb,,Outpost Siege,1,MP,PTEN,R,R,,804,
,Innistrad: Crimson Vow,vow,,Reckless Impulse,1,MP,PTEN,C,R,,174,
,Marvel Super Heroes Commander,msc,,Skullclamp,1,MP,PTEN,R,A,,210,
,Magic 2012,m12,,Swiftfoot Boots,1,MP,PTEN,U,A,,219,
,Core Set 2019,m19,,Volley Veteran,1,MP,PTEN,U,R,,168,
,Secrets of Strixhaven,sos,,Ancestral Anger,1,MP,PTEN,C,R,,106,
,Avacyn Restored,avr,,Battle Hymn,1,MP,PTEN,C,R,,128,
,Dragons of Tarkir,dtk,,Dragon Fodder,1,MP,PTEN,C,R,,135,
,Throne of Eldraine,eld,,Dwarven Mine,1,MP,PTEN,C,L,,243,
,Commander Legends,cmr,,Expedite,1,MP,PTEN,C,R,,413,
,Marvel Super Heroes Commander,msc,,Metallic Mimic,1,MP,PTEN,R,A,,203,
,Eternal Masters,ema,,Mogg War Marshal,1,MP,PTEN,C,R,,139,
,Commander Legends,cmr,,Renegade Tactics,1,MP,PTEN,C,R,,195,
,Kamigawa: Neon Dynasty,neo,,"Sokenzan, Crucible of Defiance",1,MP,PTEN,R,L,,276,
,Kamigawa: Neon Dynasty,neo,,Fable of the Mirror-Breaker,1,MP,PTEN,R,R,,141,
,Lorwyn Eclipsed,ecl,,Scuzzback Scrounger,1,MP,PTEN,R,R,,153,
