"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
,"Avatar: The Last Airbender Eternal",tle,"Desvio Nebular",Cloudshift,1,NM,EN,C,W,,152,
,"Modern Horizons 2",mh2,"Espada de Lar e Morada","Sword of Hearth and Home",1,NM,EN,M,C,,238,
"Modern Horizons 3 Commander","Modern Horizons 3 Commander",m3c,"O Cutelo Despojador","The Reaver Cleaver",1,NM,EN,R,R,,217,
"O Senhor dos An&eacute;is: Contos da Terra M&eacute;dia","Lord of the Rings: Tales of Middle-Earth",ltr,"Colocar o Anel","Slip On the Ring",1,NM,EN,C,W,,31,
"O Senhor dos An&eacute;is: Contos da Terra M&eacute;dia","Lord of the Rings: Tales of Middle-Earth",ltr,"Gandalf, o Branco","Gandalf the White",1,NM,EN,M,W,,19,
,"Tarkir: Dragonstorm Commander",tdc,"Grevas Faiscantes","Lightning Greaves",1,NM,EN,U,C,,102,
,"The Hobbit",hob,,"Bifur, Melodic Rider",1,NM,EN,U,M,,147,
,"The Hobbit",hob,,"Dwalin, Weaponmaster",1,NM,EN,R,M,,154,
,"The Hobbit Eternal",eahoc,,"Bilbo, Unexpected Adventurer",1,,,M,W,,98,
,"The Hobbit Eternal",eahoc,,"Dain of the Ancient Halls",1,,,M,M,,104,
,"The Hobbit Eternal",eahoc,,"Thorin, Company's Leader",1,,,M,R,,100,
,"The Hobbit Eternal (Scene Card)",schoc,,"Long-Lost Lances",1,,,R,C,,7,
,"The Hobbit Eternal (Scene Card)",schoc,,"Ori, Plate Stacker",1,,,R,C,,6,
